Couname,PH3COUNTRY,PH2Country,industry,org,uniorg,ceocode,entrepre,promoted,link,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119
1,Azerbaijan                                                                 ,31,NA,541,1,31001,1,2,1,310011,6,6,4,6,6,5,7,6,6,6,7,6,2,5,4,7,4,5,6,3,6,6,4,6,5,5,1,3,5,6,5,6,1,1,2,4,6,5,5,4,5,5,5,4,5,5,6,6,5,6,6,6,6,5,6,6,5,6,1,6,5,5,4,6,4,5,5,6,6,6,5,5,5,5,6,6,3,6,6,3,6,5,6,6,6,5,7,4,6,5,5,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,1,1,3,6,6,1,39,1,15,2,3
2,Azerbaijan                                                                 ,31,NA,541,1,31001,2,2,1,310012,7,6,5,6,6,5,7,5,6,7,6,5,3,6,5,6,3,6,6,2,7,5,3,6,6,5,1,1,4,7,5,6,1,1,1,2,5,4,5,5,4,4,4,2,4,6,6,6,4,5,5,7,6,6,6,6,5,6,1,6,5,4,3,7,3,5,5,6,6,5,5,4,4,5,6,6,2,6,5,2,5,5,6,5,6,6,6,2,6,4,6,6,6,4,5,5,6,6,5,6,6,6,5,5,6,6,6,6,1,1,4,6,6,4,40,1,18,2,3
3,Azerbaijan                                                                 ,31,NA,443,2,31002,1,2,1,310021,6,6,4,6,6,7,7,4,2,7,6,6,1,5,2,5,4,5,6,7,4,4,5,6,7,7,1,4,6,7,6,7,1,1,6,6,6,6,6,4,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,5,6,2,7,7,2,2,6,5,5,6,5,6,6,6,4,6,5,6,6,3,7,6,6,6,6,6,5,6,6,7,1,7,7,5,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,2,2,2,6,6,1,43,1,18,2,2
4,Azerbaijan                                                                 ,31,NA,443,2,31002,2,2,1,310022,5,6,5,6,6,6,6,3,3,6,6,6,2,6,1,5,5,5,5,6,5,4,5,5,5,6,2,4,7,7,7,7,1,2,5,6,6,5,5,5,7,7,7,6,6,7,6,6,1,5,6,6,7,6,7,6,6,6,1,6,6,2,1,6,6,6,6,6,7,6,5,3,7,4,5,6,2,7,7,6,5,6,4,5,5,6,6,2,6,5,5,5,6,7,6,5,6,7,6,6,7,7,5,5,6,6,7,7,1,1,1,6,7,6,41,1,7,2,2
5,Azerbaijan                                                                 ,31,NA,324,3,31003,1,1,1,310031,4,6,7,6,6,7,7,4,6,7,6,6,3,6,4,7,4,6,6,4,6,6,1,6,5,6,1,1,6,7,4,6,1,1,2,6,6,1,6,4,6,4,6,1,7,7,6,7,1,6,7,6,7,7,6,7,2,7,1,7,6,1,4,6,4,6,5,6,5,1,7,4,6,4,7,7,4,7,6,5,4,6,4,6,6,4,6,7,6,6,1,6,6,6,6,2,6,6,6,6,6,6,1,6,6,6,6,6,2,2,1,6,6,2,30,1,4,1,3
6,Azerbaijan                                                                 ,31,NA,324,3,31003,2,1,1,310032,5,6,6,5,6,6,6,3,5,6,5,5,2,7,5,6,5,6,5,3,6,5,3,7,6,6,1,2,7,6,5,6,1,2,3,4,7,2,6,3,4,4,5,2,5,7,7,6,2,6,6,6,6,6,7,7,3,6,1,6,5,1,5,7,3,5,6,5,6,2,6,3,5,6,6,7,5,7,5,4,6,4,5,5,6,3,5,5,7,6,4,5,7,5,5,6,6,6,5,6,5,6,2,5,6,7,6,6,2,1,2,5,6,3,35,1,5,1,3
7,Azerbaijan                                                                 ,31,NA,324,4,31004,1,2,1,310041,7,7,6,6,6,6,6,2,5,7,5,6,5,7,6,6,5,5,6,4,6,6,2,6,5,6,1,1,6,5,5,1,1,1,3,3,6,5,6,5,6,3,3,3,5,6,6,7,6,6,7,7,6,6,6,7,7,7,1,5,5,2,5,7,5,6,6,6,6,7,6,6,7,7,7,5,2,5,6,6,6,5,1,6,5,6,6,5,5,5,5,5,6,5,5,1,7,5,4,5,5,5,5,5,5,7,7,7,4,3,5,7,7,5,42,1,10,3,3
8,Azerbaijan                                                                 ,31,NA,324,4,31004,2,2,1,310042,6,6,4,6,5,5,7,1,6,5,5,6,5,7,5,5,5,5,7,4,6,6,1,4,7,7,1,1,6,5,5,1,1,1,3,3,6,5,6,5,6,3,3,3,7,7,6,7,6,6,6,5,6,7,7,7,7,7,1,4,4,2,5,5,6,7,7,7,7,7,6,5,7,7,7,6,3,4,5,4,5,4,4,5,4,5,5,4,6,4,4,4,4,4,3,5,6,7,5,6,5,6,4,4,6,6,5,6,1,2,3,7,7,6,31,1,8,3,3
9,Azerbaijan                                                                 ,31,NA,325,5,31005,1,2,1,310051,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,4,5,5,6,5,4,5,5,5,5,4,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,6,4,6,5,6,5,4,5,5,5,6,5,5,4,6,5,2,3,5,5,5,5,5,5,6,5,5,5,5,5,5,4,5,5,5,4,5,3,5,5,5,5,3,5,6,7,6,5,5,5,5,7,6,6,5,6,6,4,4,5,6,6,6,2,3,3,6,7,2,24,1,8,2,2
10,Azerbaijan                                                                 ,31,NA,325,5,31005,2,2,1,310052,4,4,5,4,4,4,4,5,5,6,6,6,1,6,6,4,2,4,3,7,2,2,7,3,4,5,5,6,5,4,6,2,4,5,7,7,4,5,6,7,2,7,3,7,4,2,5,3,1,4,3,1,4,3,7,4,5,3,6,5,7,3,3,4,7,4,5,4,1,7,4,2,3,7,4,4,4,4,5,6,1,1,3,5,4,6,5,4,4,4,6,4,4,4,2,3,5,5,3,5,5,4,3,2,4,5,6,5,2,3,1,5,5,4,28,1,12,2,2
