Full Name,Company,Seed Valuation,A Valuation,B Valuation,Valuation Increase,
Kyle Vogt,Cruise,"1,390,000","84,470,000","1,000,000,000",,* Acquired post Series A
Ryan Petersen,Flexport,"2,000,000","102,000,000","340,000,000",,
Hyungseok Ha,Memebox,"1,390,000","32,000,000","100,000,000",,
Nicolas Dessaigne,Algolia,"1,390,000","240,000,000","1,000,000,000",,
Brandon Rodman,Weave Communications,"1,390,000","36,000,000","62,000,000",,
Daniel Ruch,Rocketrip,"13,420,000","23,250,000","24,250,000",,
Vasco Pedro,Unbabel,"10,000,000","20,000,000","115,000,000",,
Ooshma Garg,Gobble,"1,390,000","28,940,000","57,000,000",,
Koby Soto,Guesty,"1,390,000","17,950,000","89,750,000",,
,Bellabeat,,,,,
,Snapdocs,,,,,
,AirHelp,,,,,
,TerrAvion,,,,,
,Zesty,,,,,
,Liftignighter,,,,,
,Boostable,,,,,
,Sendwithus,,,,,
,Kimono,,,,,
,Next Caller,,,,,
,Taplytics,,,,,
,Abacus,,,,,
,Wit.ai,,,,,
,Edyn,,,,,
,Two Tap,,,,,
,AptDeco,,,,,
,TrueVault,,,,,
,MixerBox,,,,,
,SketchDeck,,,,,
,Cambly,,,,,
,CodeCombat,,,,,
,Framed Data,,,,,
,Ambition,,,,,
,One Degree,,,,,
,Pushbullet,,,,,
,FutureLeague,,,,,
,Style Lend,,,,,
,Immunity Project,,,,,
,Minuum,,,,,
,Orankl,,,,,
,OpenCurriculum,,,,,
,Piinpoint,,,,,
,Chargehound,,,,,
,CodeNow,,,,,
,Eventjoy,,,,,
,HoverChat,,,,,
,Kuna Systems,,,,,
,MadeSolid,,,,,
,MerryMint,,,,,
,Motionlead,,,,,
,Rickshaw,,,,,
,Shoobs,,,,,
,StackLead,,,,,
,Theorem LP,,,,,
,Threadable,,,,,
,Vidpresso,,,,,
,Zidisha,,,,,
,ZowPow,,,,,
,Povio,,,,,
,42,,,,,
,AirPair,,,,,
,Beacon,,,,,
,Dating Ring,,,,,
,Drive Pulse,,,,,
,Gbatteries,,,,,
,Noora Health,,,,,
,PipelineDB,,,,,
,Yumbin,,,,,
,Zinc,,,,,
